"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.034493","172.27.131.52","180.149.145.241","TCP","66","64201  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"3","0.041205","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=1 Ack=654 Win=258 Len=0"
"4","0.047635","172.27.131.52","180.149.145.241","TLSv1.2","1443","Application Data"
"6","0.059412","172.27.131.52","180.149.145.241","TCP","54","64201  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"7","0.059645","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"9","0.083666","172.27.131.52","180.149.145.241","TLSv1.2","1437","Application Data"
"14","0.085680","172.27.131.52","180.149.145.241","TCP","54","64201  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"15","0.085817","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"19","0.185438","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=1390 Ack=581 Win=256 Len=0"
"20","0.209929","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=1 Ack=654 Win=260 Len=0"
"21","0.221893","172.27.131.52","180.149.145.241","TCP","66","64202  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"22","0.233383","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=1 Ack=654 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"23","0.233385","172.27.131.52","180.149.145.241","TLSv1.2","81","Application Data"
"25","0.246102","172.27.131.52","180.149.145.241","TCP","54","64202  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"26","0.246240","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"33","0.273955","172.27.131.52","180.149.145.241","TCP","54","64202  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"34","0.274368","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"37","0.298463","172.27.131.52","180.149.145.241","TLSv1.2","730","Application Data"
"39","0.321848","172.27.131.52","180.149.145.241","TLSv1.2","730","Application Data"
"41","0.329058","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=1 Ack=635 Win=258 Len=0"
"43","0.347021","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=1384 Ack=1229 Win=256 Len=0"
"45","0.401142","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"47","0.418715","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"51","0.425568","172.27.131.52","180.149.145.241","TCP","54","64202  >  443 [ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"52","0.425756","172.27.131.52","180.149.145.241","TCP","54","64202  >  443 [FIN, ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"53","0.432038","172.27.131.52","180.149.145.241","TLSv1.2","1455","Application Data"
"54","0.432291","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=1390 Ack=581 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"55","0.432293","172.27.131.52","180.149.145.241","TLSv1.2","75","Application Data"
"59","0.443871","172.27.131.52","180.149.145.241","TCP","54","64201  >  443 [ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"60","0.444019","172.27.131.52","180.149.145.241","TCP","54","64201  >  443 [FIN, ACK] Seq=1276 Ack=792 Win=65792 Len=0"
